Name,0-LUT,1-LUT,2-LUT,3-LUT,4-LUT,5-LUT,6-LUT,Input,Output,.latch,.names,FPGA Area (width in CLBs),First Pass Delay,Estimated Critical Path Delay,Channel Width,Av. Wire Segments, Max Wire Segments,Total Logic Block Area,Used Logic Block Area,Total Routing Area,Segment Usage,Critical Path,VPR Time
results_w-1_repetitions\alu4.1.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.352
results_w-1_repetitions\alu4.10.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.052
results_w-1_repetitions\alu4.11.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.697
results_w-1_repetitions\alu4.12.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.535
results_w-1_repetitions\alu4.13.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.227
results_w-1_repetitions\alu4.14.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,84.948
results_w-1_repetitions\alu4.15.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.718
results_w-1_repetitions\alu4.16.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.393
results_w-1_repetitions\alu4.17.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.257
results_w-1_repetitions\alu4.18.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.714
results_w-1_repetitions\alu4.19.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.268
results_w-1_repetitions\alu4.2.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.417
results_w-1_repetitions\alu4.20.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.188
results_w-1_repetitions\alu4.3.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.774
results_w-1_repetitions\alu4.4.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,86.349
results_w-1_repetitions\alu4.5.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.786
results_w-1_repetitions\alu4.6.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.474
results_w-1_repetitions\alu4.7.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,85.255
results_w-1_repetitions\alu4.8.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,84.924
results_w-1_repetitions\alu4.9.blif.txt,0,0,121,446,955,0,0,14,8,0,1522,15,4.90E-09,4.02E-09,34,5.61203,94,3.33E+06,2.27E+06,4219.63,0.762,5.09E-09,83.94
,0,0,0,0,0,0,0,0,0,0,0,0,8.27181E-25,0,0,8.88178E-16,0,0,0,0,2.22045E-16,0,0.617912162
